,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,Senanga,-16.12,23.27,79.43,17,31,1.7,ZM,1601236522
348,Thinadhoo,0.53,72.93,83.28,63,100,2.26,MV,1601236523
349,Tūkrah,32.53,20.58,81.86,52,0,7.85,LY,1601236523
351,Atar,20.52,-13.05,94.87,19,0,9.93,MR,1601236523
352,Requena,39.49,-1.1,62.01,36,0,1.99,ES,1601236286
353,Strezhevoy,60.73,77.59,50,93,99,4.47,RU,1601236524
354,Constantine,36.37,6.61,57.2,76,40,2.24,DZ,1601236524
355,Atbasar,51.8,68.33,44.04,70,72,3.94,KZ,1601236524
356,Minyar,55.07,57.55,47.3,87,100,0.78,RU,1601236524
357,Siderno,38.28,16.3,71.6,94,40,14.99,IT,1601236525
358,Meghraj,23.5,73.5,75.74,73,0,5.23,IN,1601236525
359,San Felipe,10.34,-68.74,87.3,66,100,4.52,VE,1601236525
360,Nikolskoye,59.7,30.79,59,81,1,6.71,RU,1601236525
361,San Patricio,19.22,-104.7,89.6,75,75,6.15,MX,1601236526
362,Ogaminana,7.59,6.22,74.59,85,68,1.88,NG,1601236526
363,Saint Anthony,45.02,-93.22,64.99,48,40,12.75,US,1601236526
364,Boddam,57.47,-1.78,45,93,100,3.36,GB,1601236526
365,Jesolo,45.53,12.64,55.99,82,75,14.99,IT,1601236527
366,Sur,22.57,59.53,83.19,55,0,12.12,OM,1601236527
367,St. George's,12.06,-61.75,78.8,88,75,5.82,GD,1601236527
368,Madaoua,14.07,5.96,90.36,39,49,10.16,NE,1601236527
369,Ahmadpur,18.7,76.93,71.89,82,99,3.65,IN,1601236528
370,Kralendijk,12.15,-68.27,89.6,62,75,9.17,BQ,1601236528
371,Vredendal,-31.67,18.5,51.58,66,0,7.87,ZA,1601236528
372,Mana,5.66,-53.78,84.18,72,94,11.88,GF,1601236528
374,Lockhart,28.62,-81.44,91,62,90,6.78,US,1601236303
375,Arrondissement de Saint-Denis,48.92,2.33,57.2,87,90,10.29,FR,1601236529
376,Urengoy,65.97,78.37,39.54,73,68,22.03,RU,1601236529
377,Santa Cruz,30.42,-9.6,71.6,68,0,9.17,MA,1601236529
378,Chapais,49.78,-74.85,64.4,88,90,18.34,CA,1601236530
379,Lufilufi,-13.87,-171.6,84.2,62,20,4.7,WS,1601236530
380,Aksarka,66.56,67.8,38.95,80,0,7.31,RU,1601236530
381,Snåase,64.25,12.38,53.6,76,36,9.17,NO,1601236530
383,Tefé,-3.35,-64.71,89.6,59,40,9.17,BR,1601236531
384,Akçaabat,41.02,39.57,75.2,69,29,10.31,TR,1601236244
385,Trelew,-43.25,-65.31,62.51,30,0,7.56,AR,1601236248
386,Hudson Bay,52.85,-102.38,50.47,61,96,12.86,CA,1601236531
387,Opuwo,-18.06,13.84,61.21,32,0,5.12,NA,1601236532
388,Galveston,29.37,-94.97,88,66,1,13.87,US,1601236532
389,Torquay,50.46,-3.51,50,82,49,9.31,GB,1601236532
390,Rafai,4.95,23.92,71.11,97,100,1.7,CF,1601236532
391,Cambrils,41.07,1.05,64.99,36,93,9.17,ES,1601236533
392,Makkah al Mukarramah,21.43,39.83,84.94,46,0,2.28,SA,1601236281
393,Santoña,43.44,-3.46,62.01,67,75,3.36,ES,1601236533
394,Zaokskiy,54.73,37.41,52.5,52,76,11.16,RU,1601236533
395,Altamira,-3.2,-52.21,89.6,59,40,4.7,BR,1601236343
396,Ilulissat,69.22,-51.1,33.8,69,13,8.05,GL,1601236534
397,Mayo,38.89,-76.51,78.01,88,90,5.82,US,1601236313
398,Praia,14.92,-23.51,82.4,78,20,4.7,CV,1601236534
399,Fare,-16.7,-151.02,79,79,0,14.45,PF,1601236534
400,Santa Vitória do Palmar,-33.52,-53.37,66.9,93,96,6.2,BR,1601236535
401,Cauquenes,-35.97,-72.32,65.71,46,0,6.53,CL,1601236535
402,Loandjili,-4.76,11.86,75.2,88,90,6.93,CG,1601236535
403,Batouri,4.43,14.37,69.08,97,82,2.82,CM,1601236535
404,Voyvozh,62.89,54.96,49.33,97,100,3.18,RU,1601236536
405,Coyhaique,-45.58,-72.07,51.8,57,90,6.93,CL,1601236536
